hostname,ip,os,ram_gb,department
web-07.miller.com,146.225.102.32,CentOS,32,IT
desktop-68.baker-mccarthy.com,12.160.88.157,Ubuntu,32,Sales
desktop-59.martinez.com,192.43.58.120,Debian,8,HR
desktop-23.webster.com,124.171.236.51,Debian,8,Finance
web-36.smith.info,81.119.61.17,Debian,8,Finance
db-75.coffey-kim.com,217.116.53.52,Debian,8,Sales
srv-70.howell-clark.biz,184.101.44.29,Debian,4,IT
srv-31.flores.com,153.72.232.84,Ubuntu,32,Sales
email-86.hughes.info,81.82.233.4,Ubuntu,8,IT
db-28.mcmahon.com,161.71.98.49,Ubuntu,4,IT
db-48.peterson.net,195.162.141.57,Ubuntu,16,IT
laptop-08.kelly.com,38.175.192.251,Ubuntu,8,Sales
laptop-72.walker-alvarez.com,213.205.211.241,Ubuntu,2,Sales
web-51.anderson.biz,55.175.247.133,CentOS,2,IT
lt-43.shea.com,175.247.172.113,Debian,8,HR
laptop-27.myers.com,32.71.72.148,CentOS,16,Finance
lt-41.mcbride-evans.com,32.179.54.187,Ubuntu,2,Sales
lt-01.johnson.com,155.29.161.214,Debian,8,HR
db-78.nguyen.com,25.205.176.199,CentOS,8,IT
lt-43.wilson-bell.com,104.143.222.241,Ubuntu,4,HR
email-50.fitzpatrick-hampton.com,65.194.159.138,Windows Server,32,IT
desktop-91.conway.com,223.52.55.60,CentOS,32,HR
srv-83.hutchinson.com,199.237.107.40,Ubuntu,32,Sales
db-90.miller-thompson.com,23.254.32.192,Debian,16,HR
desktop-72.allison-jimenez.com,122.191.209.43,Windows Server,4,IT
web-51.walker.com,80.56.206.186,Debian,8,Sales
desktop-47.kelly.com,12.68.52.238,Windows Server,2,Finance
srv-21.jefferson.com,165.248.128.160,Windows Server,2,IT
lt-03.sullivan.com,96.111.27.77,Windows Server,8,Finance
laptop-13.rush.com,14.79.13.213,Debian,4,IT
laptop-94.hoffman.com,197.129.159.71,Debian,8,Finance
desktop-92.jones.org,99.127.72.48,CentOS,16,IT
db-05.sweeney.org,139.211.235.152,Debian,32,IT
web-68.myers.org,187.117.228.199,Windows Server,4,IT
lt-24.watkins.com,185.10.159.153,Windows Server,2,HR
db-28.harris-bryant.biz,180.174.238.227,Windows Server,2,Sales
email-42.bradshaw.net,116.62.54.140,Debian,2,HR
email-20.carter-harris.net,130.56.43.255,Windows Server,16,IT
db-25.ross-austin.com,195.122.157.190,Windows Server,16,Sales
lt-10.reed-gardner.com,197.90.19.162,Windows Server,8,IT
web-85.donovan-reeves.com,126.103.185.136,Ubuntu,16,HR
laptop-96.bennett.com,165.120.191.242,Windows Server,4,HR
lt-10.phillips.info,180.116.153.173,Debian,32,HR
lt-98.wilson.info,156.67.17.150,Ubuntu,2,Finance
lt-16.ball-potter.com,90.254.208.252,CentOS,4,Sales
db-61.davis.com,75.137.45.45,Debian,16,IT
db-13.lee.com,109.180.59.193,CentOS,2,IT
email-04.garcia-cameron.com,183.212.68.183,Windows Server,4,Finance
srv-12.mendez-mueller.com,94.46.21.95,Ubuntu,2,HR
srv-19.walton.com,77.114.0.118,CentOS,16,Finance
srv-11.conway-boyd.com,138.145.76.23,Debian,16,Sales
desktop-57.rios-perez.com,133.143.154.85,Debian,2,HR
email-04.parker.com,75.61.84.152,Windows Server,32,HR
laptop-90.stephens.com,66.139.193.87,Debian,4,IT
lt-79.anderson.biz,218.223.222.136,Windows Server,8,Finance
srv-16.hartman.com,163.5.253.93,Ubuntu,16,HR
lt-99.miller.com,25.248.73.104,Ubuntu,2,Finance
email-47.wilson-bright.org,96.159.148.175,CentOS,2,Sales
desktop-70.simmons-washington.org,153.126.137.250,Windows Server,4,Sales
db-19.ramirez.biz,212.222.201.105,Windows Server,32,Finance
email-69.payne.com,89.134.109.98,Debian,32,HR
email-92.blevins.com,196.110.240.219,Debian,8,Finance
srv-31.contreras-lynn.com,195.121.67.58,Ubuntu,8,IT
web-40.griffin.info,141.162.255.185,CentOS,2,Sales
lt-75.henry.com,13.43.211.73,Windows Server,2,IT
db-73.baker.com,60.157.7.172,CentOS,16,Sales
laptop-00.greene.com,88.73.84.61,Debian,4,Sales
email-84.contreras.com,177.84.240.2,Debian,32,Finance
srv-77.smith-hahn.com,54.23.159.229,CentOS,4,Sales
db-87.hatfield.com,188.119.208.122,Ubuntu,32,Finance
desktop-83.patel-thompson.com,170.219.42.30,CentOS,32,IT
srv-44.brown.com,58.211.251.152,Ubuntu,32,Finance
laptop-48.lawrence-watts.com,48.172.196.204,CentOS,32,Finance
laptop-07.wilson.com,215.141.65.161,CentOS,8,IT
db-86.henderson.net,202.7.150.57,Ubuntu,8,Finance
web-05.morgan.org,125.90.106.220,Windows Server,32,Sales
desktop-39.sutton.com,145.31.176.196,Debian,8,IT
laptop-33.rogers.com,47.144.75.127,CentOS,2,Sales
desktop-26.rodriguez.org,96.0.32.204,Windows Server,4,HR
laptop-84.williams.com,211.183.123.26,Windows Server,32,IT
web-54.lopez.biz,126.203.117.73,Ubuntu,32,HR
srv-61.porter.com,211.196.13.9,Windows Server,4,HR
web-53.reese-figueroa.info,1.166.11.165,Windows Server,16,Sales
email-31.mills.com,180.67.131.112,CentOS,8,IT
desktop-32.neal.biz,132.78.39.145,Debian,4,Finance
desktop-37.lopez-romero.net,9.139.213.177,Debian,8,Finance
desktop-93.doyle.com,6.30.121.83,CentOS,2,IT
email-26.moore.org,128.46.106.105,Debian,4,Sales
email-09.pearson.net,49.177.116.47,Windows Server,32,Sales
desktop-69.sullivan.biz,41.67.246.138,Debian,2,Sales
srv-92.alvarez.org,3.192.32.231,Windows Server,8,HR
desktop-43.long.info,166.178.203.169,CentOS,32,Sales
desktop-28.shields.org,200.175.134.178,Windows Server,4,IT
srv-30.wood-baker.com,61.228.180.14,Windows Server,32,Finance
srv-55.barnett-woodward.com,53.219.202.154,Ubuntu,8,Finance
web-38.dominguez.org,135.53.16.93,CentOS,2,Finance
db-92.ramirez.biz,1.114.103.74,CentOS,4,Finance
lt-51.park-baird.info,62.129.86.215,Debian,32,Sales
email-33.carter.com,217.70.105.234,Windows Server,32,Finance
email-65.alexander-allen.com,85.28.216.101,Windows Server,16,Sales
email-91.steele.com,15.169.80.8,Windows Server,16,Sales
laptop-59.thomas-long.biz,119.145.33.34,Debian,32,IT
srv-44.morrison.net,11.232.227.88,Ubuntu,32,Finance
desktop-38.davenport.net,96.154.133.102,Ubuntu,4,IT
db-18.garcia.info,50.188.99.92,Ubuntu,2,Finance
lt-08.reed.net,43.202.13.189,Debian,32,IT
laptop-55.anderson.biz,195.250.251.249,Debian,16,IT
db-66.chavez.com,70.116.13.29,Debian,2,Finance
lt-45.carson-gomez.biz,53.203.91.31,Debian,8,Sales
web-92.gregory.com,57.122.251.221,CentOS,4,HR
srv-16.aguilar-olsen.com,56.255.13.66,Windows Server,4,IT
laptop-09.kemp-west.com,217.54.26.201,CentOS,16,IT
email-47.greene.com,170.172.221.57,Windows Server,8,Sales
srv-78.king.biz,81.172.218.83,Ubuntu,32,Sales
email-08.tran.com,105.234.79.64,Windows Server,4,HR
srv-87.boyd-taylor.com,218.146.180.170,CentOS,8,Finance
email-44.delacruz-jones.org,104.66.49.106,Ubuntu,16,Sales
srv-62.bray.com,217.24.86.154,Debian,16,Sales
srv-96.perry.org,98.85.108.231,Debian,16,IT
laptop-97.spencer.net,218.30.249.233,Ubuntu,8,Finance
email-79.giles-tucker.info,95.203.78.107,Debian,4,HR
db-08.miller.com,101.123.105.218,Ubuntu,16,Sales
lt-10.owens.com,72.119.155.235,Debian,32,Sales
lt-51.wilson.com,134.161.155.89,Ubuntu,2,Finance
email-74.davis.info,114.13.103.58,Windows Server,16,IT
email-99.boyd.com,52.1.84.183,CentOS,32,Finance
db-88.flowers.com,15.232.191.137,CentOS,2,IT
srv-21.green-thomas.com,123.237.255.255,Debian,8,Finance
web-55.freeman-conner.net,106.59.101.59,Windows Server,32,Sales
db-56.lee.info,60.27.158.30,Ubuntu,32,Finance
laptop-01.reyes-hall.com,162.149.147.223,Debian,2,HR
email-94.morales.com,124.129.103.47,Debian,4,Sales
lt-73.rodriguez.biz,47.106.23.90,Debian,32,IT
lt-64.robbins.org,61.171.154.191,Windows Server,4,HR
desktop-43.tucker-hill.net,145.196.216.243,Ubuntu,16,Sales
web-83.blanchard-beck.com,209.155.206.115,Windows Server,8,HR
lt-53.palmer.biz,144.146.207.5,Ubuntu,32,IT
desktop-70.davis.com,204.74.147.97,Windows Server,8,IT
lt-18.farley.com,136.177.139.166,CentOS,2,Finance
laptop-71.meyer.biz,46.197.163.213,Windows Server,32,Sales
desktop-85.brown.com,92.20.32.31,Debian,32,Finance
web-41.shepherd.biz,72.110.226.187,Debian,16,Finance
desktop-36.cox.com,118.210.43.176,Ubuntu,8,Sales
lt-24.pena.com,187.185.48.3,CentOS,8,IT
db-33.welch-pena.org,106.248.155.205,Debian,32,Finance
web-37.graham.biz,140.96.6.238,Debian,8,HR
laptop-68.gentry.com,196.25.48.235,Windows Server,4,HR
desktop-32.bond.com,122.132.251.3,Ubuntu,8,HR
laptop-37.olson.com,168.101.249.99,Ubuntu,4,Finance
email-64.bridges.com,174.153.133.72,CentOS,16,Sales
desktop-61.carter-gentry.com,134.34.118.104,Ubuntu,32,Sales
email-06.smith.com,49.210.246.38,Debian,8,HR
lt-93.smith-hansen.org,3.157.51.233,CentOS,32,IT
srv-06.kim-howard.com,216.147.100.174,Windows Server,32,HR
desktop-06.clark-allison.com,123.158.77.87,Debian,32,HR
srv-03.grant.com,175.147.61.88,Windows Server,8,Sales
web-33.frederick.net,203.188.182.249,Debian,4,IT
lt-03.miller.com,179.184.205.159,Debian,32,IT
lt-70.moses.com,182.100.209.48,CentOS,16,HR
db-17.harrison.biz,78.198.191.64,Ubuntu,16,IT
web-01.hall.com,197.76.89.98,Debian,8,Finance
lt-51.perkins-hernandez.com,29.40.148.245,CentOS,8,Finance
web-38.bennett.com,180.192.179.247,Windows Server,4,Finance
email-65.ramirez.com,47.223.131.60,Windows Server,4,HR
db-91.brown.com,156.226.231.14,Ubuntu,4,IT
srv-69.todd.biz,131.19.198.1,CentOS,32,Sales
laptop-18.clark-garner.com,157.120.232.69,Ubuntu,4,HR
laptop-04.schultz.com,90.136.51.26,Windows Server,2,Sales
srv-69.thompson-edwards.com,209.70.150.176,Debian,4,HR
email-43.webb-hamilton.biz,206.57.207.48,Debian,8,Sales
lt-18.swanson-pierce.com,138.104.116.71,Debian,4,HR
db-79.thomas.com,44.215.244.80,Windows Server,2,Sales
db-66.lane.com,147.114.70.63,Debian,8,Sales
email-58.brennan-curry.com,194.101.66.60,Debian,32,Finance
web-27.torres.org,65.31.20.36,CentOS,16,IT
laptop-65.cooper-palmer.com,1.113.250.114,CentOS,16,IT
email-14.flores.com,1.17.123.87,Windows Server,32,HR
desktop-14.bates-chen.com,214.28.230.120,Debian,8,IT
db-13.hayes-gilbert.com,47.201.32.39,Windows Server,4,Sales
web-38.riley.info,93.92.7.23,Ubuntu,16,HR
laptop-77.carpenter-cox.net,205.41.64.208,Windows Server,4,Sales
laptop-91.scott.org,89.204.132.38,Debian,4,IT
laptop-82.smith.com,6.254.181.16,Debian,8,HR
db-99.davis.com,131.100.151.48,Debian,4,Finance
web-71.galloway.com,108.90.124.17,CentOS,32,Finance
email-02.hull.com,86.138.50.126,CentOS,8,Sales
srv-40.clark.com,73.5.84.176,Windows Server,4,IT
web-07.gonzalez-henry.info,184.152.221.130,Windows Server,32,Sales
laptop-79.perez.info,57.223.141.81,Windows Server,32,Sales
lt-34.solomon.net,214.165.93.35,CentOS,2,IT
db-93.watkins-mitchell.com,123.28.27.237,Windows Server,8,Finance
lt-54.rodriguez.org,220.99.90.52,Windows Server,8,Finance
email-42.whitehead.com,52.105.73.3,Debian,8,Sales
laptop-54.dominguez.com,91.202.136.47,Debian,4,HR
web-90.rogers.com,85.176.92.41,Windows Server,16,Sales
laptop-62.nelson-wilson.info,34.122.106.107,Debian,32,IT
lt-68.ramirez.net,199.134.135.63,Windows Server,32,Sales
srv-03.marshall.com,187.139.174.17,Debian,8,Finance
web-13.taylor-ali.net,76.76.85.143,Windows Server,2,HR
laptop-14.williams-valdez.com,36.18.179.33,Windows Server,4,HR
srv-46.gentry.org,203.18.128.168,CentOS,16,HR
desktop-46.lynch.com,8.160.153.195,Ubuntu,8,Finance
desktop-63.lynch.com,170.166.3.228,Windows Server,4,Sales
email-83.reeves.net,142.211.155.28,Ubuntu,16,IT
email-70.smith.com,91.202.161.221,Ubuntu,8,Sales
desktop-68.keith-thomas.info,4.120.168.97,Windows Server,32,HR
srv-16.doyle-campbell.biz,25.43.213.16,CentOS,4,Sales
web-96.nelson-gillespie.org,166.191.197.193,Windows Server,32,Finance
desktop-60.nelson.biz,195.223.105.214,Ubuntu,32,IT
lt-09.cunningham.com,102.170.217.5,CentOS,4,HR
web-64.cameron-blanchard.com,74.10.245.181,Debian,8,Sales
srv-18.allen.net,31.209.12.21,Ubuntu,32,Finance
laptop-29.hall.net,34.6.146.235,Debian,2,Finance
email-79.chang.com,100.49.44.150,Debian,8,Sales
lt-61.barrett.com,129.49.53.3,Ubuntu,8,Finance
laptop-77.reyes.com,30.29.168.192,Windows Server,32,HR
lt-01.hart.com,44.115.68.91,Ubuntu,2,IT
lt-60.solomon-rodriguez.info,88.161.43.252,Ubuntu,32,HR
email-40.baldwin-price.info,209.197.84.102,CentOS,16,Sales
web-49.avila.biz,42.159.13.16,Ubuntu,16,Finance
srv-46.barr-warner.org,191.18.87.40,Windows Server,16,IT
db-05.marquez.org,167.234.14.78,Ubuntu,16,Sales
email-35.owens.com,216.110.125.97,Windows Server,32,Finance
web-99.reynolds-austin.com,19.191.206.86,CentOS,16,Sales
laptop-86.lopez-foster.com,183.40.253.149,CentOS,4,HR
srv-19.pearson-stewart.info,157.57.202.62,Ubuntu,4,Sales
srv-02.richardson.info,101.229.87.195,Windows Server,4,Sales
srv-78.stevenson-fischer.info,5.94.114.5,Ubuntu,2,IT
laptop-55.west-ellis.com,214.153.133.213,CentOS,2,Finance
db-02.price.com,13.152.29.16,Ubuntu,8,IT
db-38.garrett-davenport.com,22.194.23.23,CentOS,2,Finance
web-70.schultz-steele.com,202.136.180.140,CentOS,4,IT
email-27.stewart.com,15.22.180.161,Debian,2,HR
desktop-70.anderson-griffin.info,47.183.154.242,Windows Server,32,HR
laptop-95.salazar.net,73.201.186.242,CentOS,16,HR
web-59.tyler.org,126.219.74.43,CentOS,32,HR
srv-72.santiago.com,192.220.206.88,Windows Server,8,Finance
email-77.hartman.com,64.162.36.202,CentOS,4,HR
web-84.montgomery-andrews.com,4.207.70.58,Windows Server,2,HR
lt-39.williams-smith.net,185.20.30.172,CentOS,8,Finance
web-16.may.com,218.93.26.45,CentOS,8,Finance
laptop-61.duncan.org,177.253.218.101,Debian,32,HR
laptop-72.cruz-moore.com,151.186.88.78,Windows Server,2,HR
desktop-26.watson.info,174.98.183.160,Windows Server,16,HR
db-19.knapp-poole.com,31.171.97.238,CentOS,8,Sales
web-94.smith.org,112.105.105.132,Ubuntu,32,Finance
desktop-84.arias-green.com,34.97.247.48,CentOS,8,IT
db-35.berg-hess.com,153.121.55.205,CentOS,8,Sales
db-81.hayes.info,20.131.54.91,CentOS,8,HR
lt-85.matthews.net,2.166.49.20,Ubuntu,32,Sales
lt-59.pacheco.biz,10.147.226.148,CentOS,16,Sales
web-57.love-strong.com,101.5.41.147,Debian,32,Finance
lt-60.vasquez-sexton.com,178.27.83.93,Windows Server,16,Finance
lt-54.torres.com,39.225.161.104,Windows Server,32,Finance
desktop-99.jones.com,60.64.140.236,CentOS,4,Sales
srv-62.lopez-smith.com,94.131.68.102,Windows Server,32,HR
desktop-53.coleman-brewer.com,205.115.109.197,CentOS,32,Finance
desktop-50.baker-cook.net,167.169.229.222,Ubuntu,16,HR
db-71.perkins.biz,123.67.123.73,Debian,2,HR
laptop-66.smith.info,83.234.32.208,Debian,4,Sales
email-83.frazier-smith.com,178.149.219.122,Windows Server,2,IT
web-33.williamson.org,133.23.19.231,CentOS,16,Sales
lt-19.huffman.com,87.213.21.178,Debian,4,Finance
web-90.thompson.com,69.73.218.228,Windows Server,2,Sales
laptop-27.guzman-hays.com,125.214.147.238,Windows Server,4,HR
lt-67.vasquez.info,66.125.235.93,CentOS,32,Sales
email-96.carey-martin.com,185.31.54.198,CentOS,4,HR
laptop-20.hicks.net,30.214.140.59,Ubuntu,2,IT
lt-78.lyons-cole.com,5.236.218.244,CentOS,16,Sales
email-77.webb.com,84.0.9.222,Ubuntu,16,HR
lt-64.escobar.info,221.6.231.158,Windows Server,16,HR
laptop-81.perry.com,79.159.100.85,Ubuntu,8,Finance
web-39.floyd.com,74.19.212.54,Debian,2,HR
desktop-09.thompson.com,119.154.243.161,Debian,32,HR
email-78.thomas.com,41.206.8.13,CentOS,4,Sales
desktop-70.smith.com,208.197.23.193,Windows Server,2,Sales
laptop-06.yoder-peterson.net,110.132.197.6,CentOS,8,HR
laptop-45.anderson-molina.com,164.237.174.179,Ubuntu,2,Sales
desktop-38.thompson.biz,136.65.177.237,Ubuntu,8,HR
db-05.miller-smith.com,173.183.153.143,CentOS,8,IT
lt-42.bradley-rhodes.com,135.37.55.245,Windows Server,16,Sales
desktop-23.burnett.net,84.55.143.87,CentOS,32,HR
web-16.reyes.org,137.42.121.68,Debian,4,Finance
srv-72.rodriguez.com,98.142.225.221,Debian,2,IT
lt-44.booker.net,15.199.141.3,Ubuntu,16,Sales
desktop-86.lee.com,68.231.30.152,Ubuntu,4,Finance
desktop-86.dorsey.biz,65.105.67.143,Windows Server,8,HR
web-65.gonzalez.com,124.193.145.136,Ubuntu,4,HR
email-85.monroe.org,202.162.246.137,Debian,32,HR
desktop-88.luna.net,167.238.70.36,Windows Server,8,HR
srv-21.collins.com,205.45.104.134,Windows Server,4,IT
db-71.nicholson-phillips.com,179.101.98.37,Ubuntu,16,HR
web-36.lynch.info,51.157.75.52,Debian,32,Finance
srv-21.clark.com,85.224.166.49,Ubuntu,4,Finance
lt-86.swanson.net,194.19.180.236,CentOS,32,Sales
srv-48.edwards.org,16.90.86.243,CentOS,4,Sales
lt-27.gibson.com,67.209.196.92,Windows Server,8,HR
desktop-27.johnson-smith.biz,115.134.7.244,Windows Server,8,Finance
laptop-61.james-bailey.org,185.233.92.183,CentOS,4,HR
lt-19.lowery.com,200.157.161.246,Windows Server,8,IT
web-29.beard.net,154.142.207.30,Debian,8,Finance
email-90.valdez.org,191.145.146.178,CentOS,4,Finance
email-59.holland.com,160.143.164.25,Debian,4,Sales
laptop-02.farrell-thompson.com,207.57.194.143,Ubuntu,16,Sales
desktop-94.alvarez.org,151.89.219.47,Ubuntu,32,HR
web-02.roth-martin.com,1.165.244.83,CentOS,32,Finance
lt-70.lane.com,143.170.238.112,CentOS,32,HR
lt-93.wheeler.com,189.108.225.15,Windows Server,4,HR
db-80.shaffer.com,182.215.226.244,CentOS,8,Finance
laptop-17.martin.biz,25.112.239.200,Debian,16,Finance
laptop-82.harrison-jones.org,101.86.170.144,Windows Server,8,Finance
desktop-93.farmer.com,9.115.24.157,Ubuntu,16,IT
laptop-86.miller.com,13.132.177.63,Ubuntu,8,Finance
web-50.snyder-ross.org,200.221.96.21,Ubuntu,2,IT
email-48.vargas.com,134.184.242.126,Debian,32,Finance
desktop-69.rocha.com,213.36.147.91,CentOS,4,Finance
lt-79.kane.com,165.149.71.66,Debian,32,IT
web-42.garcia.info,24.38.81.1,Windows Server,32,IT
srv-00.berry.com,95.213.50.46,Debian,16,Sales
lt-19.wright.com,25.121.150.53,Ubuntu,16,Finance
db-84.walters-guerrero.com,43.71.54.135,Ubuntu,32,Finance
srv-00.rivera-williams.com,180.167.24.193,Windows Server,16,Sales
lt-15.lewis-ryan.info,119.179.47.234,Debian,2,Sales
desktop-65.hicks-fox.com,102.204.133.214,Debian,4,HR
email-88.sanchez-grant.info,98.152.173.238,Ubuntu,4,IT
web-11.johnson.com,54.128.87.128,Windows Server,2,Finance
web-57.moore-park.org,209.222.96.253,Ubuntu,2,HR
web-22.bishop.com,128.158.3.192,Windows Server,32,Sales
email-37.klein-williams.com,49.107.20.62,Ubuntu,4,Finance
email-74.mueller-khan.com,37.142.224.100,Ubuntu,4,Finance
web-48.brown.biz,30.62.253.75,Ubuntu,2,IT
email-73.walters.com,178.67.232.195,Debian,32,Finance
desktop-13.mccarty.com,104.137.1.132,Debian,16,HR
lt-30.martinez.com,190.245.202.146,Ubuntu,4,IT
srv-79.ray.org,171.80.161.63,Debian,4,IT
desktop-09.jones.net,87.206.74.16,Windows Server,16,HR
web-50.hensley-eaton.com,116.145.225.156,Debian,2,IT
desktop-97.rios-alexander.com,3.226.103.177,Windows Server,16,IT
lt-69.alexander.com,10.165.145.122,Debian,8,HR
db-86.cummings.org,121.111.94.240,Windows Server,8,HR
laptop-25.miller-smith.com,37.100.113.0,CentOS,8,Sales
lt-00.walton.com,2.48.65.182,Debian,8,Finance
desktop-71.underwood-melton.com,112.29.246.182,Debian,32,IT
laptop-20.robinson.com,93.206.134.197,CentOS,4,Sales
lt-71.wallace.com,17.250.43.10,Ubuntu,4,Finance
desktop-98.taylor.net,108.115.248.90,CentOS,2,Sales
db-33.davila.com,49.186.204.123,Ubuntu,2,HR
desktop-69.trujillo.com,223.44.74.46,Debian,4,IT
lt-87.gonzales-bates.com,83.205.47.208,Ubuntu,32,HR
db-87.perez-robinson.com,221.187.22.43,CentOS,8,Finance
laptop-57.yang.com,113.87.130.194,CentOS,2,Sales
email-28.rhodes-bender.biz,57.65.193.62,CentOS,2,Sales
web-17.hall.info,35.24.249.184,Ubuntu,2,Finance
srv-13.mccormick.com,159.178.208.103,CentOS,16,HR
desktop-60.le.com,160.179.155.65,Ubuntu,16,HR
srv-33.ellis.com,120.28.206.203,Ubuntu,16,Finance
lt-16.hart.com,129.101.162.46,CentOS,16,Finance
laptop-46.jimenez-harris.info,216.142.103.39,Debian,2,IT
email-04.powell-james.com,90.37.118.107,CentOS,2,HR
lt-23.jensen.org,80.33.65.123,Debian,8,Sales
email-96.roy-oliver.com,134.104.247.76,Windows Server,32,HR
laptop-47.rogers.info,203.1.97.19,CentOS,4,Finance
srv-57.lee.info,181.69.43.129,CentOS,2,HR
desktop-68.jones-schroeder.info,186.148.77.68,Ubuntu,32,Finance
db-88.moore.info,101.38.232.46,Debian,4,IT
srv-61.carroll.net,69.198.164.35,Windows Server,2,Sales
laptop-19.garza-ewing.net,178.16.92.107,Debian,16,IT
email-85.thompson-burns.com,93.116.252.140,Debian,4,IT
email-73.johnson.com,144.228.16.115,Windows Server,4,Finance
laptop-69.burgess-turner.com,32.89.94.86,Ubuntu,8,Finance
lt-98.porter.com,156.239.58.87,CentOS,32,IT
srv-53.campbell.com,178.79.228.239,Ubuntu,8,Finance
lt-93.barrett.com,213.112.141.200,Debian,4,Finance
laptop-16.stevens.com,133.174.46.176,Debian,32,Sales
laptop-36.padilla-rose.com,3.157.223.161,Ubuntu,32,IT
desktop-87.hill-norton.com,138.174.3.210,Debian,2,Finance
laptop-22.choi.com,138.135.16.37,Windows Server,2,IT
laptop-79.morrison.com,140.0.34.44,Windows Server,8,Sales
db-56.mcdaniel-price.com,20.231.204.73,CentOS,8,IT
web-56.diaz-todd.com,20.120.3.114,Ubuntu,32,HR
web-71.williams.info,161.47.124.232,Debian,4,Sales
srv-74.kennedy-brown.com,81.5.182.132,Debian,8,Finance
laptop-98.nelson-morgan.net,107.228.5.169,CentOS,16,Finance
lt-57.downs.com,53.101.169.1,Windows Server,8,HR
desktop-14.williams.com,116.74.197.140,Debian,16,Sales
srv-97.young-mathis.com,20.142.62.107,Windows Server,4,Finance
laptop-21.gonzales.org,182.219.249.14,CentOS,16,Sales
laptop-38.fritz.com,62.79.200.153,CentOS,8,Sales
web-44.hansen.com,53.191.16.78,Ubuntu,16,Sales
srv-91.kidd-hodges.com,10.79.140.228,CentOS,2,IT
desktop-80.brown.biz,73.19.25.47,Debian,16,Finance
email-26.myers.com,179.239.204.62,Debian,32,IT
db-29.williams.biz,110.95.27.96,CentOS,32,Finance
laptop-00.cooper.com,178.223.140.150,Ubuntu,16,HR
srv-32.hanson-dougherty.biz,183.246.232.168,CentOS,8,IT
laptop-13.taylor.com,125.211.97.11,CentOS,16,IT
srv-90.turner.com,22.29.254.107,Ubuntu,16,HR
web-75.smith-thomas.net,194.216.219.249,Ubuntu,32,Sales
web-84.sanford.com,10.232.219.104,Debian,32,Sales
srv-42.rodriguez-powell.biz,135.213.248.100,Ubuntu,8,HR
srv-28.hill-lee.com,73.152.231.53,Debian,32,HR
